pixel_ID,lat,lon,utm_n,utm_e,population,active
255,-23.91290227,-46.5256684,7354578.114,344706.0268,0,N
256,-23.91299944,-46.51584669,7354578.114,345706.0268,0,N
257,-23.91309598,-46.50602493,7354578.114,346706.0268,0,N
258,-23.91319189,-46.49620311,7354578.114,347706.0268,0,N
259,-23.91328718,-46.48638125,7354578.114,348706.0268,0,N
260,-23.91338184,-46.47655934,7354578.114,349706.0268,0,N
261,-23.91347587,-46.46673737,7354578.114,350706.0268,0,N
262,-23.91356928,-46.45691536,7354578.114,351706.0268,0,N
263,-23.91366205,-46.44709329,7354578.114,352706.0268,0,N
264,-23.9137542,-46.43727118,7354578.114,353706.0268,0,N
265,-23.91384573,-46.42744901,7354578.114,354706.0268,0,N
266,-23.91393662,-46.4176268,7354578.114,355706.0268,0,N
267,-23.91402689,-46.40780454,7354578.114,356706.0268,0,N
268,-23.91411653,-46.39798223,7354578.114,357706.0268,0,N
269,-23.91420555,-46.38815987,7354578.114,358706.0268,0,N
270,-23.91429394,-46.37833746,7354578.114,359706.0268,0,N
271,-23.9143817,-46.36851501,7354578.114,360706.0268,0,N
272,-23.91446883,-46.35869251,7354578.114,361706.0268,0,N
273,-23.91455533,-46.34886997,7354578.114,362706.0268,0,N
274,-23.91464121,-46.33904738,7354578.114,363706.0268,0,N
275,-23.91472646,-46.32922474,7354578.114,364706.0268,0,N
276,-23.91481109,-46.31940205,7354578.114,365706.0268,0,N
277,-23.91489509,-46.30957933,7354578.114,366706.0268,0,N
278,-23.91497845,-46.29975655,7354578.114,367706.0268,0,N
279,-23.9150612,-46.28993373,7354578.114,368706.0268,0,N
280,-23.91514331,-46.28011087,7354578.114,369706.0268,0,N
281,-23.9152248,-46.27028797,7354578.114,370706.0268,0,N
282,-23.91530566,-46.26046502,7354578.114,371706.0268,0,N
283,-23.91538589,-46.25064202,7354578.114,372706.0268,0,N
284,-23.9154655,-46.24081899,7354578.114,373706.0268,0,N
285,-23.91554447,-46.23099591,7354578.114,374706.0268,0,N
286,-23.91562283,-46.22117279,7354578.114,375706.0268,0,N
287,-23.91570055,-46.21134963,7354578.114,376706.0268,0,N
288,-23.91577764,-46.20152642,7354578.114,377706.0268,0,N
289,-23.91585411,-46.19170318,7354578.114,378706.0268,0,N
290,-23.91592995,-46.18187989,7354578.114,379706.0268,0,N
291,-23.91600517,-46.17205657,7354578.114,380706.0268,0,N
292,-23.91607975,-46.1622332,7354578.114,381706.0268,0,N
293,-23.91615371,-46.15240979,7354578.114,382706.0268,0,N
294,-23.91622704,-46.14258635,7354578.114,383706.0268,0,N
295,-23.91629975,-46.13276286,7354578.114,384706.0268,0,N
296,-23.91637182,-46.12293934,7354578.114,385706.0268,0,N
297,-23.91644327,-46.11311578,7354578.114,386706.0268,0,N
298,-23.91651409,-46.10329218,7354578.114,387706.0268,0,N
299,-23.91658428,-46.09346854,7354578.114,388706.0268,0,N
300,-23.89756634,-47.0656291,7355578.114,289706.0268,0,N
301,-23.89769792,-47.05581145,7355578.114,290706.0268,0,N
302,-23.89782887,-47.04599372,7355578.114,291706.0268,0,N
303,-23.89795919,-47.03617593,7355578.114,292706.0268,0,N
304,-23.89808889,-47.02635806,7355578.114,293706.0268,0,N
305,-23.89821796,-47.01654013,7355578.114,294706.0268,0,N
306,-23.89834641,-47.00672212,7355578.114,295706.0268,0,N
307,-23.89847423,-46.99690405,7355578.114,296706.0268,0,N
308,-23.89860142,-46.98708591,7355578.114,297706.0268,0,Y
309,-23.89872799,-46.9772677,7355578.114,298706.0268,0,N
310,-23.89885393,-46.96744943,7355578.114,299706.0268,0,N
311,-23.89897925,-46.95763108,7355578.114,300706.0268,0,N
312,-23.89910394,-46.94781267,7355578.114,301706.0268,0,N
313,-23.899228,-46.9379942,7355578.114,302706.0268,0,N
314,-23.89935144,-46.92817565,7355578.114,303706.0268,0,N
315,-23.89947425,-46.91835704,7355578.114,304706.0268,0,N
316,-23.89959644,-46.90853837,7355578.114,305706.0268,0,N
317,-23.899718,-46.89871963,7355578.114,306706.0268,0,N
318,-23.89983893,-46.88890082,7355578.114,307706.0268,0,N
319,-23.89995924,-46.87908195,7355578.114,308706.0268,0,N
320,-23.90007892,-46.86926302,7355578.114,309706.0268,0,N
321,-23.90019797,-46.85944402,7355578.114,310706.0268,0,N
