pixel_ID,lat,lon,utm_n,utm_e,population
9781,37.2001289205,-121.288638082,4118445.28179,651876.333318,0
9782,37.1999656251,-121.277374577,4118445.28179,652876.333318,0
9783,37.1998012594,-121.266111164,4118445.28179,653876.333318,0
9784,37.1996358234,-121.254847842,4118445.28179,654876.333318,0
9785,37.1994693173,-121.243584613,4118445.28179,655876.333318,0
9786,37.1993017409,-121.232321476,4118445.28179,656876.333318,0
9787,37.1991330943,-121.221058433,4118445.28179,657876.333318,0
9788,37.1989633776,-121.209795483,4118445.28179,658876.333318,0
9789,37.1987925908,-121.198532628,4118445.28179,659876.333318,0
9790,37.1986207339,-121.187269868,4118445.28179,660876.333318,0
9791,37.1984478069,-121.176007204,4118445.28179,661876.333318,0
9792,37.2213155295,-122.787231194,4119445.28179,518876.333318,0
9793,37.221294745,-122.775959547,4119445.28179,519876.333318,0
9794,37.2212728878,-122.764687913,4119445.28179,520876.333318,0
9795,37.2212499579,-122.75341629,4119445.28179,521876.333318,0
9796,37.2212259554,-122.742144681,4119445.28179,522876.333318,0
9797,37.2212008803,-122.730873085,4119445.28179,523876.333318,0
9798,37.2211747325,-122.719601503,4119445.28179,524876.333318,0
9799,37.2211475122,-122.708329937,4119445.28179,525876.333318,0
9800,37.2211192191,-122.697058385,4119445.28179,526876.333318,0
9801,37.2210898535,-122.68578685,4119445.28179,527876.333318,0
9802,37.2210594152,-122.674515331,4119445.28179,528876.333318,0
9803,37.2210279043,-122.66324383,4119445.28179,529876.333318,0
9804,37.2209953208,-122.651972346,4119445.28179,530876.333318,0
9805,37.2209616647,-122.640700881,4119445.28179,531876.333318,0
9806,37.220926936,-122.629429435,4119445.28179,532876.333318,0
9807,37.2208911348,-122.618158008,4119445.28179,533876.333318,0
9808,37.2208542609,-122.606886602,4119445.28179,534876.333318,0
9809,37.2208163144,-122.595615216,4119445.28179,535876.333318,0
9810,37.2207772954,-122.584343852,4119445.28179,536876.333318,0
9811,37.2207372038,-122.57307251,4119445.28179,537876.333318,0
9812,37.2206960396,-122.56180119,4119445.28179,538876.333318,0
9813,37.2206538029,-122.550529894,4119445.28179,539876.333318,0
9814,37.2206104937,-122.539258621,4119445.28179,540876.333318,0
9815,37.2205661119,-122.527987372,4119445.28179,541876.333318,0
9816,37.2205206575,-122.516716149,4119445.28179,542876.333318,0
9817,37.2204741307,-122.505444951,4119445.28179,543876.333318,0
9818,37.2204265313,-122.494173779,4119445.28179,544876.333318,0
9819,37.2203778594,-122.482902635,4119445.28179,545876.333318,0
9820,37.220328115,-122.471631517,4119445.28179,546876.333318,0
9821,37.2202772981,-122.460360427,4119445.28179,547876.333318,0
9822,37.2202254088,-122.449089366,4119445.28179,548876.333318,0
9823,37.2201724469,-122.437818334,4119445.28179,549876.333318,0
9824,37.2201184126,-122.426547332,4119445.28179,550876.333318,0
9825,37.2200633058,-122.41527636,4119445.28179,551876.333318,0
9826,37.2200071266,-122.404005419,4119445.28179,552876.333318,0
9827,37.2199498749,-122.392734509,4119445.28179,553876.333318,0
9828,37.2198915508,-122.381463632,4119445.28179,554876.333318,0
9829,37.2198321543,-122.370192787,4119445.28179,555876.333318,0
9830,37.2197716854,-122.358921976,4119445.28179,556876.333318,0
9831,37.219710144,-122.347651199,4119445.28179,557876.333318,0
9832,37.2196475303,-122.336380456,4119445.28179,558876.333318,0
9833,37.2195838442,-122.325109748,4119445.28179,559876.333318,0
9834,37.2195190857,-122.313839076,4119445.28179,560876.333318,0
9835,37.2194532548,-122.30256844,4119445.28179,561876.333318,0
9836,37.2193863516,-122.291297841,4119445.28179,562876.333318,0
9837,37.2193183761,-122.280027279,4119445.28179,563876.333318,0
9838,37.2192493282,-122.268756756,4119445.28179,564876.333318,0
9839,37.219179208,-122.257486271,4119445.28179,565876.333318,0
9840,37.2191080156,-122.246215825,4119445.28179,566876.333318,0
9841,37.2190357508,-122.23494542,4119445.28179,567876.333318,0
9842,37.2189624137,-122.223675054,4119445.28179,568876.333318,0
9843,37.2188880044,-122.21240473,4119445.28179,569876.333318,0
9844,37.2188125228,-122.201134448,4119445.28179,570876.333318,0
9845,37.2187359689,-122.189864208,4119445.28179,571876.333318,0
9846,37.2186583428,-122.17859401,4119445.28179,572876.333318,0
9847,37.2185796446,-122.167323856,4119445.28179,573876.333318,0
9848,37.2184998741,-122.156053746,4119445.28179,574876.333318,0
9849,37.2184190314,-122.144783681,4119445.28179,575876.333318,0
9850,37.2183371165,-122.133513661,4119445.28179,576876.333318,0
9851,37.2182541294,-122.122243686,4119445.28179,577876.333318,0
9852,37.2181700702,-122.110973758,4119445.28179,578876.333318,0
9853,37.2180849389,-122.099703877,4119445.28179,579876.333318,0
9854,37.2179987354,-122.088434044,4119445.28179,580876.333318,0
9855,37.2179114598,-122.077164259,4119445.28179,581876.333318,0
9856,37.2178231122,-122.065894523,4119445.28179,582876.333318,0
9857,37.2177336924,-122.054624836,4119445.28179,583876.333318,0
9858,37.2176432006,-122.043355199,4119445.28179,584876.333318,3
9859,37.2175516367,-122.032085613,4119445.28179,585876.333318,5
9860,37.2174590008,-122.020816077,4119445.28179,586876.333318,22
9861,37.2173652928,-122.009546594,4119445.28179,587876.333318,18
9862,37.2172705129,-121.998277163,4119445.28179,588876.333318,88
9863,37.2171746609,-121.987007785,4119445.28179,589876.333318,698
9864,37.217077737,-121.97573846,4119445.28179,590876.333318,631
9865,37.2169797411,-121.96446919,4119445.28179,591876.333318,271
9866,37.2168806733,-121.953199974,4119445.28179,592876.333318,109
9867,37.2167805335,-121.941930814,4119445.28179,593876.333318,33
9868,37.2166793219,-121.93066171,4119445.28179,594876.333318,38
9869,37.2165770383,-121.919392662,4119445.28179,595876.333318,60
9870,37.2164736829,-121.908123671,4119445.28179,596876.333318,324
9871,37.2163692556,-121.896854738,4119445.28179,597876.333318,158
9872,37.2162637564,-121.885585864,4119445.28179,598876.333318,678
9873,37.2161571854,-121.874317048,4119445.28179,599876.333318,1126
9874,37.2160495427,-121.863048292,4119445.28179,600876.333318,1649
9875,37.2159408281,-121.851779595,4119445.28179,601876.333318,2096
9876,37.2158310417,-121.84051096,4119445.28179,602876.333318,1587
9877,37.2157201836,-121.829242386,4119445.28179,603876.333318,463
9878,37.2156082538,-121.817973874,4119445.28179,604876.333318,112
9879,37.2154952522,-121.806705424,4119445.28179,605876.333318,102
9880,37.2153811789,-121.795437037,4119445.28179,606876.333318,79
9881,37.215266034,-121.784168714,4119445.28179,607876.333318,184
9882,37.2151498174,-121.772900456,4119445.28179,608876.333318,280
9883,37.2150325291,-121.761632262,4119445.28179,609876.333318,139
9884,37.2149141692,-121.750364133,4119445.28179,610876.333318,65
9885,37.2147947377,-121.739096071,4119445.28179,611876.333318,75
9886,37.2146742347,-121.727828075,4119445.28179,612876.333318,22
9887,37.21455266,-121.716560147,4119445.28179,613876.333318,2
9888,37.2144300138,-121.705292286,4119445.28179,614876.333318,0
9889,37.2143062961,-121.694024494,4119445.28179,615876.333318,0
