pixel_ID,lat,lon,population,cf,dir_ratio,cf_category
16337,37.6232985,-122.0495122,2257,2.822740714,1.197559625,3
16338,37.62320668,-122.0381816,2124,2.116932203,1.218832369,2
16442,37.63504399,-122.4913765,1203,2.349219826,1.453191496,3
16444,37.63494409,-122.4687095,1704,2.612641503,1.228816728,3
16445,37.63489251,-122.4573761,2612,2.148398415,1.316128244,2
16446,37.63483985,-122.4460427,2409,3.094414849,1.052110649,4
16447,37.63478609,-122.4347094,1484,4.664828633,1.259314024,4
16448,37.63473124,-122.4233761,2368,2.884219908,1.481975533,3
16449,37.63467531,-122.4120428,3580,2.62122453,1.266628869,3
16450,37.63461829,-122.4007095,1492,4.833676571,2.380703421,4
16451,37.63456018,-122.3893763,1066,2.823847103,1.081322276,3
16475,37.63283898,-122.11739,2213,3.338860982,1.443129534,4
16476,37.63275366,-122.1060578,3484,2.76630149,1.56951628,3
16477,37.63266725,-122.0947256,4304,2.015041098,1.476180635,2
16478,37.63257975,-122.0833935,3860,3.296059041,1.656559949,4
16479,37.63249116,-122.0720614,4780,1.784504683,1.102906871,1
16480,37.63240149,-122.0607294,3701,2.311454368,1.150700466,2
16481,37.63231073,-122.0493974,1976,2.632104202,1.711032172,3
16586,37.64405709,-122.491315,1229,2.620736927,1.221845222,3
16587,37.64400767,-122.4799802,1245,3.067228041,1.056238902,4
16588,37.64395716,-122.4686454,2647,3.34058226,1.16822762,4
16589,37.64390556,-122.4573106,3920,2.030069962,1.301452706,2
16590,37.64385288,-122.4459758,1985,5.130002436,2.025396345,4
16591,37.6437991,-122.4346411,1995,2.179423862,1.099641022,2
16592,37.64374424,-122.4233064,2825,2.227989129,1.275456501,2
16593,37.64368829,-122.4119717,2250,2.450004001,1.198230505,3
16594,37.64363125,-122.4006371,1090,2.707003864,1.28031195,3
16618,37.64193562,-122.128617,1412,2.659100107,1.007352733,3
16619,37.64185136,-122.1172834,2314,1.817155852,1.187127242,1
16620,37.64176601,-122.1059498,3310,2.210927207,1.324774399,2
16621,37.64167957,-122.0946163,2725,4.441645426,1.293917995,4
16622,37.64159205,-122.0832828,3905,2.2905624,1.107091149,2
16623,37.64150343,-122.0719493,4644,3.718913736,1.033563666,4
16624,37.64141373,-122.0606159,3179,3.490960379,1.743674726,4
16730,37.65307017,-122.4912535,1505,2.307746032,1.083933489,2
16731,37.65302073,-122.4799173,2621,1.976163404,1.025770653,2
16732,37.65297021,-122.4685811,3844,3.197632418,1.297556143,4
16733,37.6529186,-122.457245,3817,4.730015119,1.450675527,4
16734,37.65286589,-122.4459089,2551,2.122274793,1.156524514,2
16735,37.6528121,-122.4345728,2674,2.932649436,1.923288422,3
16736,37.65275722,-122.4232367,4215,1.907009302,1.151850057,1
16737,37.65270125,-122.4119007,4284,2.909015588,1.552801657,3
16738,37.65264419,-122.4005647,1324,2.461851645,1.337500744,3
16739,37.65258604,-122.3892287,3420,1.669565147,1.14167357,1
16762,37.65094802,-122.1285117,1707,3.123866962,1.072248251,4
16763,37.65086373,-122.1171767,1457,1.72497328,1.270832277,1
16764,37.65077835,-122.1058418,2398,2.107002995,1.405726812,2
16765,37.65069189,-122.0945068,3417,3.723029952,1.278235434,4
16766,37.65060434,-122.083172,3979,2.731827938,1.300078149,3
16767,37.65051569,-122.0718372,3638,2.316307094,1.222986448,2
16768,37.65042596,-122.0605024,1855,4.8200524,3.395273128,4
16874,37.66208324,-122.491192,1515,1.667820835,1.061821918,1
16875,37.66203379,-122.4798544,3269,3.265166705,1.501721892,4
16876,37.66198325,-122.4685169,4089,2.274241546,1.435983354,2
16877,37.66193162,-122.4571794,3378,3.084992633,1.453565361,4
16878,37.6618789,-122.4458419,2931,3.693182313,1.429814662,4
16879,37.66182509,-122.4345044,5035,2.183623576,1.205519121,2
16880,37.66177019,-122.423167,3394,2.247205814,1.200238713,2
16881,37.6617142,-122.4118296,3881,1.775841175,1.144486954,1
16882,37.66165712,-122.4004922,3563,4.235721973,1.601558816,4
16883,37.66159896,-122.3891549,2016,2.147918668,1.149476974,2
17018,37.67109629,-122.4911305,1206,4.80618663,1.087399655,4
17019,37.67104683,-122.4797915,4045,3.982243548,1.806709286,4
17020,37.67099627,-122.4684526,2455,4.454447811,2.004337643,4
17021,37.67094462,-122.4571137,2114,2.455269653,1.392364015,3
17023,37.67083806,-122.434436,1500,2.106280379,2.698045679,2
17024,37.67078314,-122.4230972,1320,2.360011288,1.109984973,3
17025,37.67072714,-122.4117584,1470,2.675776157,1.163951306,3
17162,37.68010933,-122.4910689,2317,2.116175519,1.249425138,2
17163,37.68005985,-122.4797286,4741,1.753861158,1.027956421,1
17164,37.68000928,-122.4683883,2945,2.724501289,1.590784869,3
17170,37.67968295,-122.4003472,1477,2.049007042,1.109966085,2
17306,37.68912236,-122.4910073,3122,1.834864075,1.331117668,1
17307,37.68907286,-122.4796656,4113,2.131514318,1.009749865,2
17308,37.68902227,-122.468324,4139,2.734262005,1.459472114,3
17309,37.68897059,-122.4569823,4594,2.19595952,1.048357152,2
17310,37.68891782,-122.4456407,1117,2.140882689,1.002460517,2
17313,37.68875297,-122.4116161,1411,3.120314563,1.011324342,4
17314,37.68869583,-122.4002746,1261,2.547210541,1.821284107,3
17450,37.69813538,-122.4909457,2678,2.156682788,1.140330559,2
17451,37.69808586,-122.4796027,4390,2.810431417,1.74829328,3
17452,37.69803526,-122.4682596,5038,2.779500315,1.439051971,3
17453,37.69798356,-122.4569166,5479,2.936491722,1.085715202,3
17457,37.69776586,-122.4115449,1021,4.049175395,1.419419857,4
17594,37.70714838,-122.4908841,1287,2.923455865,1.592043274,3
17595,37.70709884,-122.4795396,2584,2.994796951,1.288957226,3
17596,37.70704822,-122.4681952,4699,2.888518558,1.712582204,3
17597,37.70699651,-122.4568509,6804,2.389716518,1.370349949,3
17598,37.70694371,-122.4455065,5379,2.135473876,1.074862712,2
17599,37.70688981,-122.4341622,3175,2.180643054,1.05747777,2
17600,37.70683482,-122.4228179,2518,2.457484848,1.204489615,3
17601,37.70677874,-122.4114736,3979,2.042053961,1.354406304,2
17602,37.70672157,-122.4001294,1398,3.591340656,2.117493858,4
17739,37.71611181,-122.4794766,6206,2.965451371,1.397107634,3
17740,37.71606118,-122.4681308,5525,1.994438929,1.414807204,2
17741,37.71600945,-122.4567851,6852,1.84620217,1.176022002,1
17742,37.71595662,-122.4454393,8477,2.131441871,1.332808101,2
17743,37.71590271,-122.4340936,8163,1.420748465,1.109921383,1
