pixel_ID,lat,lon,orders_total,cf,dir_ratio,cf_category
2445,-23.713261,-46.62141321,524,2.083337139,1.15853609,2
2446,-23.71336347,-46.61160696,1920,2.384014641,1.218158727,2
2447,-23.71346532,-46.60180065,731,2.109263697,1.077499124,2
2448,-23.71356655,-46.59199429,2270,2.002593354,1.132352578,1
2449,-23.71366717,-46.58218788,2983,2.500462088,1.278461132,3
2450,-23.71376716,-46.57238141,1208,2.888449678,1.819152223,3
2451,-23.71386652,-46.56257488,2750,5.940558139,1.786915448,4
2452,-23.71396527,-46.5527683,7578,3.114001998,1.97071657,4
2453,-23.7140634,-46.54296167,6471,2.253391406,1.564109487,2
2454,-23.7141609,-46.53315499,3194,2.436617592,1.421465197,2
2455,-23.71425779,-46.52334826,1345,1.933755613,1.101716473,1
2456,-23.71435405,-46.51354147,466,2.331741523,1.010548913,2
2457,-23.71444969,-46.50373463,782,2.951120131,2.02802696,3
2458,-23.71454471,-46.49392774,173,3.09910936,1.267501654,4
2464,-23.71510179,-46.43508535,64,4.401119087,1.006698839,4
2465,-23.71519246,-46.42527811,830,1.965556466,1.060060072,1
2466,-23.71528251,-46.41547082,2452,3.567666549,1.236844089,4
2467,-23.71537194,-46.40566349,315,3.898637349,1.404814829,4
2468,-23.71546075,-46.3958561,514,2.378948164,1.280676703,2
2469,-23.71554893,-46.38604867,147,3.762211872,1.001942894,4
2503,-23.69936952,-47.0330819,104,2.616510915,1.003086588,3
2504,-23.69949801,-47.02327893,120,2.709028782,1.000157333,3
2520,-23.70146952,-46.86642225,239,4.815591363,2.497232316,4
2521,-23.70158746,-46.85661815,1748,2.588851675,1.312167349,3
2522,-23.70170479,-46.84681399,377,2.711377844,1.116910707,3
2524,-23.70193758,-46.82720548,206,2.500142535,1.065433499,3
2526,-23.70216789,-46.80759672,238,4.327902401,1.009574162,4
2527,-23.70228211,-46.79779225,407,2.56673862,1.081906922,3
2528,-23.70239571,-46.78798772,1060,2.535979577,1.018949896,3
2529,-23.70250869,-46.77818312,1070,3.50202736,1.016386769,4
2530,-23.70262105,-46.76837847,1113,1.960318836,1.008231671,1
2531,-23.7027328,-46.75857375,249,2.342617732,1.045372747,2
2532,-23.70284392,-46.74876898,586,1.943529729,1.175648278,1
2533,-23.70295442,-46.73896414,146,1.634911473,1.003475282,1
2536,-23.70328219,-46.70954929,566,1.564443866,1.279877865,1
2537,-23.70339021,-46.69974422,969,5.070558214,1.418110221,4
2538,-23.7034976,-46.68993909,2179,3.39601282,1.769896,4
2539,-23.70360438,-46.68013391,143,4.913501716,1.232588026,4
2542,-23.70392098,-46.65071801,416,1.651038007,1.079879968,1
2545,-23.704232,-46.62130161,1307,2.241564882,1.120714692,2
2546,-23.70433443,-46.61149603,1818,2.013116127,1.355204431,1
2547,-23.70443624,-46.6016904,1305,3.303648981,1.197444177,4
2548,-23.70453743,-46.59188471,1428,3.844301474,1.373080889,4
2549,-23.704638,-46.58207897,2573,2.263222143,1.353552038,2
2550,-23.70473794,-46.57227317,5797,2.386279573,1.438311717,2
2551,-23.70483727,-46.56246732,1778,4.735789284,1.923127291,4
2552,-23.70493597,-46.55266142,4890,2.773070312,1.974830296,3
2553,-23.70503406,-46.54285547,5018,2.391657361,1.743939336,2
2554,-23.70513152,-46.53304946,3745,2.37064408,1.271437739,2
2555,-23.70522837,-46.5232434,1131,3.945758973,1.438646336,4
2556,-23.70532459,-46.51343728,2019,2.744326774,1.328225083,3
2557,-23.70542019,-46.50363112,2986,2.208089439,1.288320699,2
2558,-23.70551517,-46.49382491,85,3.960359235,1.006095161,4
2560,-23.70570326,-46.47421232,111,2.589561239,1.000928738,3
2562,-23.70588888,-46.45459954,640,1.891057195,1.005669639,1
2564,-23.70607201,-46.43498656,383,3.607801482,1.231967079,4
2565,-23.70616264,-46.42518,591,2.84948641,1.545503447,3
2566,-23.70625265,-46.41537338,1330,2.241616351,1.299731006,2
2567,-23.70634204,-46.40556672,1206,2.14224773,1.146676293,2
2568,-23.70643081,-46.39576001,543,2.624876197,1.218562079,3
2569,-23.70651896,-46.38595326,246,4.228651575,1.261289904,4
2570,-23.70660649,-46.37614645,84,2.2315971,1,2
2571,-23.70669339,-46.3663396,62,3.391081194,1.019906847,4
2604,-23.69047103,-47.02313977,559,2.041137441,1.132620307,1
2621,-23.69255958,-46.85649043,809,2.483567282,1.187692793,3
2622,-23.69267686,-46.84668694,96,2.865251227,1.017335195,3
2624,-23.69290955,-46.82707978,200,2.797443074,1.035961081,3
2625,-23.69302496,-46.81727611,87,2.252907467,1.000347272,2
2626,-23.69313976,-46.80747237,57,3.224839779,1.00041514,4
2627,-23.69325393,-46.79766857,1626,2.102394034,1.012208858,2
2628,-23.69336749,-46.78786471,2013,2.046251236,1.018248586,2
2629,-23.69348042,-46.77806079,2431,3.027444242,2.049301538,3
2630,-23.69359273,-46.76825681,1592,3.688610472,1.05260965,4
2631,-23.69370443,-46.75845277,1724,2.421741772,1.014635996,2
2632,-23.6938155,-46.74864867,1282,4.842973842,1.007290564,4
2633,-23.69392595,-46.73884451,466,2.423049955,1.002355358,2
2636,-23.69425359,-46.70943167,1881,1.662276301,1.148958212,1
2637,-23.69436156,-46.69962728,3866,4.678030193,1.608080147,4
2638,-23.69446891,-46.68982283,133,5.192055151,1.300201618,4
2642,-23.69489211,-46.65060444,91,1.939003046,1.006920343,1
2644,-23.69509998,-46.63099491,2467,1.998686982,1.169835791,1
2645,-23.69520299,-46.62119006,3320,2.116372343,1.355882002,2
2646,-23.69530538,-46.61138516,2056,2.146410939,1.405358934,2
2647,-23.69540714,-46.6015802,2066,2.701112759,1.34104404,3
2648,-23.69550829,-46.59177518,2176,2.521128065,1.297551806,3
2649,-23.69560882,-46.58197012,2481,2.596545707,1.625861421,3
2650,-23.69570872,-46.57216499,2729,3.019202948,1.367890223,3
2651,-23.695808,-46.56235982,5237,3.97235442,1.551879417,4
2652,-23.69590667,-46.55255459,3382,3.081504539,2.166788383,4
2653,-23.69600471,-46.54274931,6703,2.070864331,1.244866428,2
2654,-23.69610213,-46.53294397,2673,1.919722258,1.144808708,1
2655,-23.69619893,-46.52313859,3252,2.581104598,1.088136362,3
2656,-23.69629511,-46.51333315,3222,2.238323642,1.24650101,2
2657,-23.69639067,-46.50352766,2828,2.74221161,1.446167882,3
2658,-23.69648561,-46.49372212,865,2.483567282,1.187692793,3
2659,-23.69657993,-46.48391653,139,2.696184531,1.628488291,3
2661,-23.69676671,-46.46430519,496,2.413569607,2.204854455,2
2662,-23.69685916,-46.45449945,1071,2.993556605,1.025116217,3
2663,-23.696951,-46.44469366,961,2.665085715,1.68960689,3
2664,-23.69704221,-46.43488782,779,3.071930105,1.338636978,3
2665,-23.69713281,-46.42508193,404,1.896731306,1.008033258,1
2666,-23.69722278,-46.41527599,241,4.318208907,1.007997715,4
2667,-23.69731213,-46.40547,471,2.211910964,1.013830805,2
2668,-23.69740087,-46.39566397,806,2.296897216,1.010469161,2
2669,-23.69748898,-46.38585789,381,3.874883619,1.045210535,4
2670,-23.69757647,-46.37605176,103,2.5518133,1.001651837,3
2671,-23.69766334,-46.36624558,70,1.815919284,1,1
2703,-23.68131565,-47.0328023,99,1.933759795,1,1
2704,-23.68144403,-47.02300067,669,2.276277034,1.069380701,2
